,lipid,fc,p,pnd1,pnd2
83,TAG(48:2/FA16:1)+NH4,0.6703715009531452,0.44847675971030954,30,60
84,TAG(48:3/FA14:0)+NH4,0.435791927782061,0.26592508903199547,30,60
85,TAG(48:3/FA16:1)+NH4,0.44593225819056903,0.09757409488496624,30,60
86,TAG(48:3/FA18:1)+NH4,0.4557704667176597,0.2765305406918241,30,60
87,TAG(48:3/FA18:2)+NH4,0.38433263508005916,0.2630260760423762,30,60
88,TAG(48:4/FA18:2)+NH4,0.684067961949079,0.45511001865359735,30,60
89,TAG(48:4/FA18:3)+NH4,0.24112624869125004,0.060426760489448894,30,60
90,TAG(48:5/FA18:3)+NH4,0.3055202861528975,0.043230292336216135,30,60
91,TAG(49:1/FA17:0)+NH4,1.0179001308895226,0.9742827567989093,30,60
92,TAG(49:2/FA16:1)+NH4,1.83965422362942,0.45227962712497105,30,60
93,TAG(49:2/FA18:2)+NH4,0.9713630632192827,0.9612663155302119,30,60
94,TAG(49:3/FA16:1)+NH4,0.6720338888698247,0.4213169260150309,30,60
95,TAG(50:0/FA16:0)+NH4,1.1278698890619636,0.7421753613807612,30,60
96,TAG(50:1/FA16:0)+NH4,0.6832227190872548,0.35418960760717455,30,60
97,TAG(50:1/FA18:1)+NH4,0.5673159120549774,0.05765153696434537,30,60
98,TAG(50:2/FA14:0)+NH4,1.0591318020184777,0.9027384914979153,30,60
99,TAG(50:2/FA16:0)+NH4,0.9296377621417714,0.8401268604043697,30,60
100,TAG(50:2/FA16:1)+NH4,0.6982634288095975,0.49069421326183515,30,60
101,TAG(50:2/FA18:1)+NH4,0.5410114599420401,0.2226376828199983,30,60
102,TAG(50:2/FA18:2)+NH4,0.8905733300648833,0.8285599251411695,30,60
103,TAG(50:3/FA16:1)+NH4,0.5112103114488917,0.3223798930647511,30,60
104,TAG(50:3/FA18:1)+NH4,0.761225276244433,0.6953678316767044,30,60
105,TAG(50:3/FA18:2)+NH4,0.848281535102021,0.6877192577433424,30,60
106,TAG(50:3/FA18:3)+NH4,0.5991458825491969,0.356403605652033,30,60
107,TAG(50:4/FA16:1)+NH4,0.4270149873495762,0.3748740853951883,30,60
108,TAG(50:4/FA18:2)+NH4,0.6019144902014478,0.4472589900698315,30,60
109,TAG(50:5/FA14:0)+NH4,1.4600987505936183,0.8119068909606648,30,60
110,TAG(50:5/FA18:3)+NH4,0.5350453473628334,0.19667191202960413,30,60
